iter	Passed	Remaining
0	23	117030
1	57	143116
2	91	151876
3	110	137856
4	138	138271
5	168	140115
6	184	131497
7	201	125964
8	215	119628
9	230	115033
10	246	111739
11	264	110146
12	279	107169
13	293	104482
14	313	104085
15	325	101451
16	338	99363
17	354	98007
18	371	97275
19	387	96465
20	403	95732
21	417	94371
22	429	93020
23	446	92612
24	460	91566
25	472	90433
26	491	90601
27	512	90978
28	533	91381
29	549	91056
30	570	91450
31	589	91581
32	610	91856
33	635	92787
34	664	94246
35	686	94709
36	708	95024
37	731	95549
38	763	97157
39	779	96609
40	794	96058
41	813	96011
42	829	95635
43	847	95505
44	864	95232
45	881	94919
46	897	94628
47	924	95367
48	941	95114
49	958	94844
50	974	94531
51	990	94251
52	1002	93581
53	1017	93195
54	1032	92869
55	1051	92802
56	1070	92807
57	1087	92695
58	1099	92050
59	1112	91611
60	1128	91366
61	1144	91165
62	1161	91014
63	1177	90777
64	1192	90542
65	1208	90364
66	1227	90350
67	1245	90366
68	1266	90486
69	1277	89981
70	1294	89879
71	1308	89567
72	1322	89278
73	1338	89084
74	1353	88860
75	1365	88478
76	1381	88338
77	1392	87841
78	1406	87601
79	1422	87476
80	1436	87228
81	1449	86928
82	1462	86632
83	1474	86293
84	1488	86077
85	1505	86040
86	1521	85896
87	1536	85767
88	1548	85464
89	1561	85209
90	1573	84893
91	1587	84701
92	1602	84579
93	1616	84355
94	1633	84318
95	1649	84243
96	1665	84178
97	1680	84068
98	1696	84005
99	1715	84039
100	1728	83864
101	1739	83540
102	1753	83383
103	1774	83542
104	1796	83733
105	1828	84434
106	1850	84632
107	1871	84774
108	1890	84808
109	1909	84891
110	1927	84909
111	1944	84870
112	1958	84696
113	1974	84638
114	1988	84460
115	1999	84171
116	2013	84052
117	2028	83934
118	2042	83788
119	2053	83492
120	2063	83202
121	2081	83211
122	2097	83147
123	2111	83021
124	2126	82936
125	2142	82884
126	2156	82740
127	2165	82443
128	2184	82497
129	2194	82210
130	2210	82147
131	2228	82174
132	2237	81896
133	2249	81669
134	2263	81574
135	2276	81424
136	2289	81255
